Marker	Plate
pf-marker-97	plate_2
HRP2-4	plate_2
CRT-3	plate_2
pf-marker-182	plate_2
pf-marker-116	plate_2
pf-marker-35	plate_2
pf-marker-119	plate_2
pf-marker-24	plate_2
pf-marker-157	plate_2
HRP2-1	plate_2
pf-marker-164_pf-species	plate_2
pf-marker-104	plate_2
pf-marker-77	plate_2
pf-marker-107	plate_2
pf-marker-106	plate_2
CRT-4	plate_2
pf-marker-199	plate_2
pf-marker-41	plate_2
pf-marker-34	plate_2
pf-marker-195	plate_2
pf-marker-36	plate_2
pf-marker-58	plate_2
pf-marker-130	plate_2
pf-marker-124	plate_2
pf-marker-185	plate_2
HRP3-1	plate_2
pf-marker-125	plate_2
pf-marker-93	plate_2
pf-marker-141	plate_2
pf-marker-159	plate_2
pf-marker-18	plate_2
pf-marker-10	plate_2
pf-marker-55	plate_2
pf-marker-190	plate_2
pf-marker-186	plate_2
pf-marker-26	plate_2
pf-marker-113	plate_2
pf-marker-91	plate_2
pf-marker-143	plate_2
pf-marker-163	plate_2
pf-marker-136	plate_2
pf-marker-38	plate_2
pf-marker-9	plate_2
pf-marker-153	plate_2
pf-marker-71	plate_2
pf-marker-191	plate_2
pf-marker-117	plate_2
pf-marker-146	plate_2
pf-marker-90	plate_2
pf-marker-181	plate_2
pf-marker-178	plate_2
pf-marker-74	plate_2
pf-marker-139	plate_2
HRP2-5	plate_2
pf-marker-60	plate_2
pf-marker-174	plate_2
MDR1-3	plate_2
pf-marker-135	plate_2
pf-marker-189	plate_2
pf-marker-85	plate_2
pf-marker-148	plate_2
K13-1	plate_2
pf-marker-194	plate_2
pf-marker-14	plate_2
DHPS-1	plate_2
pf-marker-46	plate_2
pf-marker-17	plate_2
pf-marker-193	plate_2
pf-marker-151	plate_2
pf-marker-100	plate_2
pf-marker-172	plate_2
pf-marker-29	plate_2
pf-marker-134	plate_2
pf-marker-30	plate_2
pf-marker-40	plate_2
pf-marker-61	plate_2
pf-marker-147	plate_2
pf-marker-63	plate_2
pf-marker-161	plate_2
pf-marker-196	plate_2
pf-marker-94	plate_2
Pm-species	plate_2
pf-marker-82	plate_2
pf-marker-45	plate_2
pf-marker-23	plate_2
pf-marker-8	plate_2
pf-marker-114	plate_2
pf-marker-72	plate_2
K13-3	plate_2
pf-marker-51	plate_2
